fork_url;repo_id;repo_url;last_update;developer;url_developer;fork_update;commit_msg;update_status
https://github.com/mortenf/cylon-mqtt;"hybridgroup/cylon-mqtt
";"https://github.com/hybridgroup/cylon-mqtt
";on 22 May 2016;mortenf;;on 22 May 2016;This branch is 1 commit behind hybridgroup:master.;DESATUALIZADO
https://github.com/mleung123/Bipedal_Robot;"Agile-and-Adaptive-Robotics/Bipedal_Robot
";"https://github.com/Agile-and-Adaptive-Robotics/Bipedal_Robot
";on 13 Mar;mleung123;;on 17 Jun 2020;This branch is 280 commits behind Agile-and-Adaptive-Robotics:master.;DESATUALIZADO
https://github.com/00mjk/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;00mjk;;on 1 Dec 2020;This branch is 27 commits behind hybridgroup:release.;DESATUALIZADO
https://github.com/0111001101111010/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;1,11E+14;;on 7 May 2014;This branch is 2490 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/0x4445565A/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;0x4445565A;;on 7 Sep 2016;This branch is 1659 commits behind hybridgroup:dev.;DESATUALIZADO
https://github.com/0xinfinitykernel/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;0xinfinitykernel;;on 2 May;This branch is up to date with hybridgroup/gobot:release.;ATUALIZADO
https://github.com/1000x/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;1000x;;on 1 Dec 2020;This branch is 27 commits behind hybridgroup:release.;DESATUALIZADO
https://github.com/15260790807/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;15260790807;;on 1 Dec 2020;This branch is 27 commits behind hybridgroup:release.;DESATUALIZADO
https://github.com/17twenty/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;17twenty;;on 26 Nov 2015;This branch is 1945 commits behind hybridgroup:dev.;DESATUALIZADO
https://github.com/180909/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;180909;;on 1 Dec 2020;This branch is 27 commits behind hybridgroup:release.;DESATUALIZADO
https://github.com/2plus7/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;2plus7;;on 1 Dec 2020;This branch is 27 commits behind hybridgroup:release.;DESATUALIZADO
https://github.com/30s/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;30s;;on 19 Dec 2018;This branch is 129 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/88act/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;88act;;on 2 May;This branch is up to date with hybridgroup/gobot:release.;ATUALIZADO
https://github.com/90Y/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;90Y;;on 19 Dec 2018;This branch is 129 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/a-baba/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;a-baba;;on 31 May 2018;This branch is 205 commits behind hybridgroup:master.;DESATUALIZADO
https://github.com/a1xon/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;a1xon;;on 27 Aug 2020;This branch is 4 commits ahead of hybridgroup:master.;DESATUALIZADO
https://github.com/a4a881d4/gobot;"hybridgroup/gobot
";"https://github.com/hybridgroup/gobot
";on 2 May;a4a881d4;;on 5 Sep 2015;This branch is 1845 commits behind hybridgroup:master.;DESATUALIZADO
